contract,trading_day,event_count,closed_by_opposing_event_count,stop_loss_count,unresolved_count,closed_by_opposing_event_rate,stop_loss_rate,unresolved_rate,average_R,total_R,expectancy_R
NQU21-CME,2021-06-27,6978,5002,1976,0,0.7168243049584408,0.2831756950415592,0.0,-0.06509726498923199,-454.24871509486087,-0.06509726498923199
NQU21-CME,2021-06-28,6926,4958,1968,0,0.7158533063817499,0.28414669361825007,0.0,-0.12039183568564699,-833.833853958791,-0.12039183568564699
NQU21-CME,2021-06-29,7264,5089,2175,0,0.7005781938325991,0.2994218061674009,0.0,-0.07966897903949434,-578.7154637428869,-0.07966897903949434
NQU21-CME,2021-06-30,7942,5663,2279,0,0.7130445731553765,0.2869554268446235,0.0,-0.05207213333025102,-413.5568829088536,-0.05207213333025102
NQU21-CME,2021-07-01,6647,4653,1994,0,0.7000150443809238,0.2999849556190763,0.0,-0.13348218952949942,-887.2561138025826,-0.13348218952949942
NQU21-CME,2021-07-04,1353,983,370,0,0.7265336289726534,0.2734663710273466,0.0,-0.13554512765533414,-183.3925577176671,-0.13554512765533414
NQU21-CME,2021-07-05,8883,6194,2689,0,0.6972869526061015,0.3027130473938985,0.0,-0.11511893596070752,-1022.6015081389648,-0.11511893596070752
NQU21-CME,2021-07-06,11086,7907,3179,0,0.7132419267544651,0.28675807324553493,0.0,-0.06878929074796161,-762.5980772319024,-0.06878929074796161
NQU21-CME,2021-07-07,18344,13273,5071,0,0.7235608373310074,0.2764391626689926,0.0,0.001811259261570749,33.22573989425382,0.001811259261570749
NQU21-CME,2021-07-08,9682,6911,2771,0,0.7137988019004338,0.2862011980995662,0.0,-0.05869575562368559,-568.2923059485239,-0.05869575562368559
NQU21-CME,2021-07-11,7858,5590,2268,0,0.7113769406973784,0.28862305930262155,0.0,-0.07647668916565215,-600.9538234636946,-0.07647668916565215
NQU21-CME,2021-07-12,11665,8380,3285,0,0.7183883411915988,0.2816116588084012,0.0,-0.055803576799609435,-650.948723367444,-0.055803576799609435
NQU21-CME,2021-07-13,11215,8025,3190,0,0.7155595185020063,0.2844404814979938,0.0,-0.056632129278051606,-635.1293298533487,-0.056632129278051606
NQU21-CME,2021-07-14,14760,10517,4243,0,0.7125338753387533,0.2874661246612466,0.0,-0.02557115610322425,-377.4302640835899,-0.02557115610322425
NQU21-CME,2021-07-15,12166,8719,3447,0,0.7166694065428243,0.28333059345717576,0.0,-0.06039098133595086,-734.7166789331782,-0.06039098133595086
NQU21-CME,2021-07-18,20213,14656,5557,0,0.7250779201503983,0.27492207984960176,0.0,-0.03553439835777223,-718.25679400565,-0.03553439835777223
NQU21-CME,2021-07-19,12220,8782,3438,0,0.7186579378068739,0.281342062193126,0.0,-0.048793397114273294,-596.2553127364197,-0.048793397114273294
NQU21-CME,2021-07-20,9081,6492,2589,0,0.7148992401717873,0.28510075982821276,0.0,-0.09671626292120683,-878.2803835874793,-0.09671626292120683
NQU21-CME,2021-07-21,7822,5498,2324,0,0.702889286627461,0.29711071337253897,0.0,-0.10932600553143995,-855.1480152669233,-0.10932600553143995
NQU21-CME,2021-07-22,7388,5256,2132,0,0.7114239306984299,0.2885760693015701,0.0,-0.12555456641692653,-927.5971366882532,-0.12555456641692653
NQU21-CME,2021-07-25,8286,5864,2422,0,0.707699734491914,0.2923002655080859,0.0,-0.08897713665005941,-737.2645542823923,-0.08897713665005941
NQU21-CME,2021-07-26,15013,10626,4387,0,0.7077865849597016,0.2922134150402984,0.0,-0.04128581439037786,-619.8239314427428,-0.04128581439037786
NQU21-CME,2021-07-27,14145,10155,3990,0,0.7179215270413574,0.28207847295864263,0.0,-0.030791470928024714,-435.54535627690956,-0.030791470928024714
NQU21-CME,2021-07-28,9237,6654,2583,0,0.7203637544657356,0.27963624553426436,0.0,-0.037809709591996796,-349.2482875012744,-0.037809709591996796
NQU21-CME,2021-07-29,12119,8749,3370,0,0.7219242511758396,0.2780757488241604,0.0,-0.05533908019201012,-670.6543128469707,-0.05533908019201012
NQU21-CME,2021-08-01,9816,6897,2919,0,0.7026283618581907,0.2973716381418093,0.0,-0.07535539497105717,-739.6885570358972,-0.07535539497105717
NQU21-CME,2021-08-02,11498,8133,3365,0,0.707340407027309,0.2926595929726909,0.0,-0.0704947163546874,-810.5482486461958,-0.0704947163546874
NQU21-CME,2021-08-03,9482,6837,2645,0,0.7210504113056317,0.27894958869436826,0.0,-0.029947870893624082,-283.96571181334355,-0.029947870893624082
NQU21-CME,2021-08-04,6256,4363,1893,0,0.6974104859335039,0.30258951406649615,0.0,-0.16734431733822971,-1046.906049267965,-0.16734431733822971
NQU21-CME,2021-08-05,7825,5613,2212,0,0.7173162939297124,0.28268370607028753,0.0,-0.09968304352241462,-780.0198155628945,-0.09968304352241462
NQU21-CME,2021-08-08,6494,4733,1761,0,0.7288266091777025,0.2711733908222975,0.0,-0.08455000543914606,-549.0677353218146,-0.08455000543914606
NQU21-CME,2021-08-09,8360,5918,2442,0,0.7078947368421052,0.29210526315789476,0.0,-0.057270029527749115,-478.77744685198263,-0.057270029527749115
NQU21-CME,2021-08-10,9391,6700,2691,0,0.7134490469598552,0.28655095304014483,0.0,-0.06480058498857155,-608.5422936276755,-0.06480058498857155
NQU21-CME,2021-08-11,6899,4896,2003,0,0.7096680678359183,0.29033193216408176,0.0,-0.1096917055802736,-756.7630767983076,-0.1096917055802736
NQU21-CME,2021-08-12,5224,3686,1538,0,0.7055895865237366,0.2944104134762634,0.0,-0.10327690731267439,-539.518563801411,-0.10327690731267439
NQU21-CME,2021-08-15,9393,6693,2700,0,0.7125519003513254,0.28744809964867457,0.0,-0.06360730056157719,-597.4633741748946,-0.06360730056157719
NQU21-CME,2021-08-16,13538,9533,4005,0,0.7041660511153789,0.29583394888462106,0.0,-0.03070998009650257,-415.7517105464518,-0.03070998009650257
NQU21-CME,2021-08-17,11580,8153,3427,0,0.7040587219343696,0.2959412780656304,0.0,-0.057937110342729636,-670.9117377688092,-0.057937110342729636
NQU21-CME,2021-08-18,16904,12015,4889,0,0.7107785139611926,0.2892214860388074,0.0,-0.07204510135513018,-1217.8503933071204,-0.07204510135513018
NQU21-CME,2021-08-19,10034,7149,2885,0,0.7124775762407813,0.28752242375921866,0.0,-0.05108958251557867,-512.6328709613164,-0.05108958251557867
NQU21-CME,2021-08-22,6370,4537,1833,0,0.7122448979591837,0.28775510204081634,0.0,-0.12365890149747889,-787.7072025389406,-0.12365890149747889
NQU21-CME,2021-08-23,6175,4393,1782,0,0.711417004048583,0.288582995951417,0.0,-0.08748455280887293,-540.2171135947904,-0.08748455280887293
NQU21-CME,2021-08-24,5936,4245,1691,0,0.7151280323450134,0.2848719676549865,0.0,-0.09537068109193929,-566.1203629617517,-0.09537068109193929
NQU21-CME,2021-08-25,8995,6240,2755,0,0.6937187326292384,0.30628126737076156,0.0,-0.07255486161839622,-652.630980257474,-0.07255486161839622
NQU21-CME,2021-08-26,7118,5027,2091,0,0.7062377072211296,0.29376229277887045,0.0,-0.1137716260023254,-809.8264338845522,-0.1137716260023254
